"A̱o","Mes","Homicidios","Fecha"
"2010","01",111,2010-01-01
"2010","02",102,2010-02-01
"2010","03",107,2010-03-01
"2010","04",95,2010-04-01
"2010","05",99,2010-05-01
"2010","06",117,2010-06-01
"2010","07",121,2010-07-01
"2010","08",112,2010-08-01
"2010","09",91,2010-09-01
"2010","10",112,2010-10-01
"2010","11",128,2010-11-01
"2010","12",120,2010-12-01
"2011","01",133,2011-01-01
"2011","02",118,2011-02-01
"2011","03",117,2011-03-01
"2011","04",125,2011-04-01
"2011","05",143,2011-05-01
"2011","06",120,2011-06-01
"2011","07",118,2011-07-01
"2011","08",142,2011-08-01
"2011","09",144,2011-09-01
"2011","10",140,2011-10-01
"2011","11",145,2011-11-01
"2011","12",191,2011-12-01
"2012","01",98,2012-01-01
"2012","02",99,2012-02-01
"2012","03",113,2012-03-01
"2012","04",96,2012-04-01
"2012","05",116,2012-05-01
"2012","06",102,2012-06-01
"2012","07",110,2012-07-01
"2012","08",83,2012-08-01
"2012","09",93,2012-09-01
"2012","10",116,2012-10-01
"2012","11",106,2012-11-01
"2012","12",132,2012-12-01
"2013","01",83,2013-01-01
"2013","02",85,2013-02-01
"2013","03",114,2013-03-01
"2013","04",86,2013-04-01
"2013","05",109,2013-05-01
"2013","06",120,2013-06-01
"2013","07",115,2013-07-01
"2013","08",105,2013-08-01
"2013","09",115,2013-09-01
"2013","10",109,2013-10-01
"2013","11",101,2013-11-01
"2013","12",126,2013-12-01
"2014","01",96,2014-01-01
"2014","02",103,2014-02-01
"2014","03",111,2014-03-01
"2014","04",103,2014-04-01
"2014","05",94,2014-05-01
"2014","06",113,2014-06-01
"2014","07",108,2014-07-01
"2014","08",122,2014-08-01
"2014","09",99,2014-09-01
"2014","10",121,2014-10-01
"2014","11",123,2014-11-01
"2014","12",140,2014-12-01
"2015","01",119,2015-01-01
"2015","02",101,2015-02-01
"2015","03",102,2015-03-01
"2015","04",103,2015-04-01
"2015","05",118,2015-05-01
"2015","06",107,2015-06-01
"2015","07",107,2015-07-01
"2015","08",113,2015-08-01
"2015","09",103,2015-09-01
"2015","10",107,2015-10-01
"2015","11",111,2015-11-01
"2015","12",152,2015-12-01
